source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
A2M,P01023,A2M,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AACS,Q86V21,AACS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AADAC,P22760,AADAC,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AAGAB,Q6PD74,AAGAB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AAMP,Q13685,AAMP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AAR2,Q9Y312,AAR2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AARS1,P49588,AARS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AARS2,Q5JTZ9,AARS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AASDHPPT,Q9NRN7,AASDHPPT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
AASS,Q9UDR5,AASS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABAT,P80404,ABAT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCA10,Q8WWZ4,ABCA10,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABCA6,Q8N139,ABCA6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCA9,Q8IUA7,ABCA9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCB1,P08183,ABCB1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCB10,Q9NRK6,ABCB10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCB11,O95342,ABCB11,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABCB6,Q9NP58,ABCB6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCC3,O15438,ABCC3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCC4,O15439,ABCC4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCC9,O60706,ABCC9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCD1,P33897,ABCD1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCD2,Q9UBJ2,ABCD2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCF1,Q8NE71,ABCF1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCF2,Q9UG63,ABCF2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCF3,Q9NUQ8,ABCF3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCG2,Q9UNQ0,ABCG2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABCG4,Q9H172,ABCG4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCG5,Q9H222,ABCG5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABCG8,Q9H221,ABCG8,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABHD12,Q8N2K0,ABHD12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABHD13,Q7L211,ABHD13,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABHD16A,O95870,ABHD16A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABHD17B,Q5VST6,ABHD17B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABHD2,P08910,ABHD2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ABHD3,Q8WU67,ABHD3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABI1,Q8IZP0,ABI1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABI3,Q9P2A4,ABI3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABI3BP,Q7Z7G0,ABI3BP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABITRAM,Q9NX38,ABITRAM,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ABL2,P42684,ABL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
