"original_feature_name","feature_name","decision","reason"
"LOC729884",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"FXYDD3",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"MPAPK13",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"TP73L",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"LOC728113",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"LOC653562",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"SAHNK2",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"FLJ20366",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"LOC553158",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"IL20R1",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"KIAA0888",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"AR7E14P",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"TACSTD1",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"AIM1",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"FLJ12684",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"N-PAC",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"ANKRD25",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"SPRX",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"TGFB1L1",NA,"excluded","No Ensembl release 114 direct match or unambiguous HGNC approved, previous, or alias-symbol rescue."
"CD",NA,"excluded","Ambiguous HGNC alias mapping to CTLA4 and NOD2."
"MALL","ENSG00000282304","rejected mapping","Alternative Ensembl release 114 gene_name mapping not supported as the primary Ensembl gene ID in the HGNC archive."
"SLC6A10P","ENSG00000290985","rejected mapping","Alternative Ensembl release 114 gene_name mapping not supported as the primary Ensembl gene ID in the HGNC archive."
"MALL","ENSG00000144063","retained mapping","Ensembl release 114 ID supported by the HGNC 2025-04-01 archive."
"SLC6A10P","ENSG00000214617","retained mapping","Ensembl release 114 ID supported by the HGNC 2025-04-01 archive."
