source_symbol,candidate_accessions,reviewed_accession,decision_type,rationale
CDKN2A,P42771|Q8N726,P42771,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
CUX1.1,NA,Q13948,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
MACF1,O94854|Q9UPN3,Q9UPN3,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
MACF1.1,NA,O94854,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
MOCS2,O96007|O96033,O96007,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
MYO18A,O95411|Q92614,Q92614,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
NACA,E9PAV3|Q13765,E9PAV3,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
PALM2,NA,Q8IXS6,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
POLR1D.1,NA,P0DPB5,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
PRKCH,C0HM02|P24723,P24723,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
RABGAP1L,B7ZAP0|Q5R372,Q5R372,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
RPL9P9,NA,P32969,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
RTL8C,A6ZKI3|O15255,A6ZKI3,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
SAP,NA,P02743,HGNC candidate unresolved; rescued from exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
SIRPB1,O00241|Q5TFQ8,O00241,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
TMPO,P42166|P42167,P42166,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
TOR1AIP2,Q8NFQ8|Q9H496,Q8NFQ8,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
TRB,P0DSE2|P0DTU4,P0DTU4,HGNC candidate one-to-many; resolved by exact study crosswalk,The exact Protein label in Ding 2025 Table S2 DEPs maps consistently to one study-provided UniProt accession across tissues. The study-specific crosswalk therefore takes precedence over the generic HGNC mapping.
